time,gFx,gFy,gFz,TgF
0.387940417,0.0762,0.2523,0.9858,1.014
1.388701458,0.1134,0.1770,0.9624,0.978
2.390099218,0.0298,-0.0342,1.2425,1.239
3.389867707,0.0464,-0.0132,0.9281,0.925
4.38999953,0.0332,-0.0239,0.9463,0.943
5.390777186,0.0586,0.0905,1.0049,1.005
6.391642758,0.0621,0.1124,0.9580,0.961
7.392104893,0.0151,0.0592,0.9795,0.977
8.392081143,-0.0034,0.1863,1.1237,1.134
9.392667809,0.0059,0.0929,0.9702,0.970
10.392413121,0.0137,0.1423,1.0675,1.072
11.393298798,0.0679,0.1237,1.0513,1.055
12.394583173,0.0352,0.0714,0.9423,0.941
13.394635047,-0.0083,0.0533,1.1926,1.190
14.395112547,-0.0225,-0.0244,1.0425,1.040
15.395341557,-0.0054,-0.1139,1.2034,1.206
16.395819525,0.0508,-0.1256,1.1295,1.134
17.396488327,-0.0714,-0.1266,0.9047,0.915
18.39703692,0.0846,-0.2781,1.2288,1.259
19.39707968,0.0699,-0.0303,0.8617,0.860
20.397704367,0.0723,-0.0493,1.1207,1.120
21.398053065,0.0225,0.0191,1.1007,1.097
22.397958637,0.1159,0.0073,0.8753,0.877
23.398625095,-0.0366,-0.0117,1.0450,1.043
24.399873324,-0.0548,0.0435,0.9281,0.928
25.399745615,0.0914,0.0431,0.9208,0.920
26.399942126,0.1154,-0.0137,0.9731,0.974
27.400551813,-0.0636,0.0269,0.9276,0.928
28.413521552,0.0112,0.0083,0.9980,0.994
29.401091656,-0.0371,-0.0332,1.1442,1.142
30.402268791,-0.0773,-0.0450,0.9878,0.990
31.402394467,-0.0083,-0.0870,1.0415,1.042
32.40288629,-0.0327,-0.0186,1.1515,1.149
33.403389987,-0.0269,-0.1242,0.9912,0.997
34.403913425,0.0078,-0.0762,0.9091,0.909
35.403953893,0.0117,-0.0723,0.9555,0.955
36.404743632,-0.1359,0.0440,1.0709,1.079
37.40549759,-0.1105,-0.0288,0.9409,0.947
38.427816548,0.0542,-0.0127,0.8176,0.815
39.411462277,0.0992,-0.0777,1.1139,1.116
40.406615297,0.0059,-0.1838,1.0410,1.055
41.406835297,0.0557,-0.0645,0.9301,0.930
42.406990036,0.0401,-0.0279,1.0166,1.014
43.407587848,0.0450,-0.0195,0.9917,0.989
44.408758785,0.0528,0.0392,1.0142,1.011
45.409750972,0.0230,0.1134,0.8915,0.894
46.409488785,0.0708,0.2293,0.9335,0.957
47.409980972,0.0083,0.1682,1.1510,1.159
48.413428367,0.0557,0.2855,0.8861,0.926
49.410531231,-0.1129,0.1506,1.0498,1.064
50.412241231,0.3896,-0.3813,0.9721,1.107
51.412739928,0.1990,0.2513,0.7565,0.811
52.416171282,-0.3960,0.5862,1.3862,1.555
53.417227376,0.0191,0.1129,0.9051,0.908
54.418365917,-0.0024,0.0132,1.1266,1.123
55.418362792,0.0264,0.1188,1.1383,1.140
56.419806749,0.0939,0.0499,1.0699,1.070
57.419280291,0.0293,-0.0928,0.9824,0.984
58.433843207,0.0235,-0.4008,1.3129,1.371
59.419939821,0.1315,-0.3344,1.0900,1.144
60.421028779,0.0235,-0.4527,1.1198,1.207
61.420730081,0.2630,0.0494,0.7434,0.780
62.421886956,-0.0010,-0.0322,0.9912,0.988
63.421848361,0.0264,0.0034,0.9017,0.898
64.426366173,0.0215,0.0279,1.1110,1.107
65.422564871,0.0748,-0.0386,1.1652,1.164
66.422589402,0.0885,0.0142,0.8220,0.821
67.42291211,0.0191,0.0636,0.9472,0.945
68.424438828,0.0279,-0.0997,1.0327,1.034
69.430965859,-0.1002,0.0308,0.9819,0.986
70.437406432,-0.0572,-0.1452,0.8749,0.888
71.437679973,-0.0318,-0.0137,1.0220,1.020
72.426075441,-0.0244,-0.1374,1.1071,1.114
73.426445962,0.0054,-0.0816,1.0435,1.044
74.427347107,0.0142,0.0054,0.9927,0.989
75.429200492,0.0249,-0.0093,0.9756,0.972
76.430070336,-0.0024,0.0230,0.9941,0.991
77.430396898,0.0313,-0.0386,0.9736,0.971
78.430331064,-0.0010,0.0602,1.0000,0.998
79.430899501,0.0015,-0.0024,0.9770,0.973
80.43159148,-0.0122,0.0690,0.9198,0.919
81.432187105,-0.0939,0.0406,1.0147,1.018
82.431883927,-0.0572,0.0968,0.8397,0.844
83.432229395,0.1046,-0.1481,0.9237,0.937
84.432654135,0.0479,-0.0103,1.0738,1.071
85.432783613,0.1002,-0.0117,0.9546,0.954
86.435676946,0.0269,-0.0963,1.1692,1.170
87.434155436,0.0430,-0.1251,1.0626,1.067
88.4478308,0.0650,0.0636,0.9746,0.973
89.440746789,0.0191,-0.0166,1.0073,1.004
90.435115903,0.0059,0.0553,0.9345,0.932
91.43553283,-0.0073,-0.0586,0.9453,0.944
92.436612204,0.0537,0.0445,1.0186,1.016
93.461460642,-0.0054,0.0137,0.9922,0.989
94.460787256,0.0176,0.1384,1.0563,1.061
95.439267099,0.0513,0.2596,0.8245,0.859
96.438908401,0.0963,0.0313,0.7223,0.723
97.446432619,0.0205,0.1609,1.0322,1.040
98.440003869,0.0870,0.1614,1.0088,1.019
99.440694598,0.0474,-0.0010,0.8856,0.882
100.441601681,0.0669,0.0758,1.2273,1.226
101.441733816,0.0905,-0.0259,0.9047,0.904
102.442336159,-0.0758,0.0396,1.1907,1.191
103.443883763,-0.0239,-0.0337,1.1242,1.122
104.443306262,0.1090,0.1731,0.8656,0.882
105.443483762,-0.2772,0.5275,0.8446,1.032
106.445202147,0.0929,-0.1027,0.8915,0.897
107.448966574,0.0905,0.0191,1.0406,1.039
108.464791417,-0.1921,-0.3412,1.1080,1.177
109.446501521,-0.0200,-0.0806,0.9585,0.959
110.446016885,-0.0846,-0.2830,1.0841,1.123
111.446627562,-0.0778,-0.1154,1.1711,1.178
112.45582902,0.0533,-0.1036,0.9785,0.982
113.462974853,-0.0117,-0.0513,0.9883,0.987
114.456964748,-0.0318,-0.0616,1.0259,1.026
115.472534019,0.0020,0.0078,0.9443,0.941
116.458163497,0.0093,0.0348,1.1242,1.121
117.458242507,0.0479,-0.0269,0.9863,0.983
118.463203913,-0.0572,-0.0450,1.0230,1.023
119.459263757,-0.0186,0.0103,1.0049,1.002
120.46084636,-0.0107,-0.0269,0.8054,0.803
121.46021912,-0.0690,0.0088,1.0171,1.017
122.460577297,-0.0841,-0.0840,0.9780,0.984
123.460904797,-0.0743,-0.0787,1.1452,1.148
124.460995005,0.0713,-0.0430,1.0856,1.084
125.461768546,0.1745,-0.0923,1.0924,1.104
126.462189119,0.0630,-0.1051,1.0332,1.036
127.462538077,0.0274,-0.1041,0.9281,0.931
128.46371167,0.0469,-0.0498,1.0939,1.092
129.464658649,0.0738,-0.0533,1.0103,1.010
130.464276877,0.0503,-0.0107,1.0044,1.001
131.465537554,0.0557,-0.0039,0.9936,0.991
132.465616668,0.0660,-0.0073,0.9805,0.978
133.466354793,0.0440,-0.0166,1.0073,1.004
134.466822397,0.0767,-0.0122,0.9575,0.956
135.467694792,0.0635,-0.0107,0.9721,0.969
136.477250261,0.0708,-0.0230,0.9550,0.953
137.4688075,0.0606,-0.0049,0.9858,0.983
138.468891822,0.0684,-0.0142,0.9829,0.981
139.470966145,0.0547,-0.0137,1.0059,1.003
140.470137967,0.0596,-0.0083,1.0078,1.005
141.470328748,0.0723,0.0015,0.9844,0.982
142.490302394,0.0611,-0.0117,1.0166,1.014
143.472268956,0.0562,-0.0239,0.9883,0.986
144.472694528,0.0596,0.0289,0.9936,0.991
145.473272236,0.0621,-0.0088,0.9863,0.984
146.472940101,0.0523,-0.0093,1.0191,1.016
147.472922496,0.0611,-0.0161,1.0107,1.008
148.473763954,0.0586,0.0523,0.9897,0.988
149.483611974,0.1623,0.2596,0.8949,0.937
150.478568745,0.1686,0.0093,0.8763,0.885
151.478835672,-0.0753,0.0680,1.1760,1.178
152.479082911,0.1760,0.0206,1.7964,1.799
153.479677233,0.0220,-0.0098,1.4229,1.419
154.486774889,0.0616,-0.0987,0.9844,0.987
155.485945774,0.0020,0.2102,0.6993,0.725
156.486228482,0.0107,0.0020,1.0900,1.086
157.486552961,0.0489,0.0861,0.9404,0.940
158.492126971,-0.0514,-0.1486,0.9086,0.921
159.491930616,-0.0279,-0.2361,0.8485,0.880
160.49138197,0.2014,-0.0630,0.8739,0.892
161.491100772,0.1095,-0.1261,0.9472,0.957
162.49119999,-0.0519,-0.2205,0.8044,0.835
163.493103011,0.0484,-0.1457,0.8939,0.904
164.492214781,0.0523,-0.0318,0.8841,0.882
165.505443947,-0.0597,-0.1750,0.9271,0.944
166.493202905,0.2288,0.0333,0.9521,0.971
167.493629832,-0.0225,0.0797,0.8890,0.889
168.494224155,0.0117,-0.0537,0.8788,0.877
169.500109831,-0.0161,0.0294,1.2982,1.295
170.494587435,0.0743,0.0372,0.8538,0.852
171.520245143,0.0650,0.0348,1.0450,1.042
172.495932591,0.0797,-0.0577,1.0631,1.063
173.495624413,0.0826,0.1345,0.9536,0.960
174.496382746,-0.1437,-0.0029,0.9673,0.977
175.497325246,-0.1051,-0.1530,1.0230,1.039
176.497278943,-0.0083,-0.1012,0.8475,0.851
177.498848839,-0.0973,-0.0303,0.9707,0.975
178.498889359,-0.0836,-0.0469,1.0831,1.086
179.499150453,0.0176,-0.0708,0.9354,0.935
180.500575608,0.0083,-0.0518,0.8020,0.800
181.524556702,-0.0592,-0.0166,0.9990,0.999
182.500923837,-0.0322,0.0274,0.8675,0.865
183.508000816,0.1212,0.0401,0.9541,0.956
184.502083524,0.0068,0.0699,1.1056,1.104
185.502533419,0.0533,-0.0723,1.1657,1.165
186.503587429,-0.0195,0.0264,0.9521,0.949
187.503682689,0.0479,-0.0591,0.9443,0.943
188.503458418,0.0034,0.0504,0.8753,0.873
189.503883834,0.0445,-0.0132,1.0235,1.020
190.504224667,0.0352,0.0401,1.0024,0.999
191.505213313,0.0352,0.0362,0.9433,0.940
192.505371645,0.0151,0.0387,1.0029,1.000
193.505467843,0.0420,-0.0205,1.0464,1.043
194.514962686,0.0679,0.0255,0.9609,0.958
195.514069405,0.0655,-0.0054,0.9477,0.945
196.506680654,0.0112,0.2684,1.0386,1.067
197.506956696,0.0171,0.1423,0.9120,0.918
198.507777789,0.0318,0.1716,1.0327,1.042
199.507540757,-0.0484,0.1921,1.0675,1.082
200.508085444,0.0469,0.0152,0.9404,0.937
201.510527059,-0.0680,-0.0195,0.9687,0.969
202.509196225,-0.0029,0.0073,0.9614,0.958
203.5095431,-0.0817,0.3227,1.0274,1.076
204.510231068,-0.0147,0.2146,0.9707,0.989
205.509908828,-0.1378,-0.0870,1.1466,1.157
206.510713776,-0.0107,-0.2176,1.4327,1.447
207.511318515,0.0581,-0.3925,1.0885,1.157
208.512028202,-0.0494,0.2034,1.2151,1.229
209.511167212,0.0357,-0.0459,0.9985,0.996
210.520300649,-0.0044,-0.0298,0.9985,0.996
211.515482263,-0.0611,-0.1315,0.9785,0.988
212.512448409,-0.0543,-0.1251,1.1071,1.114
213.512739867,0.0181,-0.0894,0.9325,0.934
214.513112835,0.0342,0.0132,0.8773,0.874
215.516549189,0.0166,-0.0103,1.0680,1.064
216.515974397,0.0905,-0.0176,0.9580,0.957
217.514072626,0.0890,0.0112,1.0327,1.031
218.514938094,0.0308,0.0152,1.0034,1.000
219.531602677,0.0733,-0.0880,0.9340,0.937
220.528383562,-0.0494,0.0103,1.0508,1.049
221.515708926,-0.0460,0.1692,1.1990,1.208
