time,gFx,gFy,gFz,TgF
0.760807708,-0.0621,0.1291,0.7971,0.807
1.761045729,-0.1085,0.1237,0.9110,0.924
2.761353072,0.0239,0.0484,1.0117,1.009
3.761608072,0.1833,0.0372,0.9580,0.969
4.761857342,0.0562,0.0499,1.0259,1.024
5.7622588,0.0474,0.0768,0.9707,0.970
6.762187966,0.0450,0.0107,0.9932,0.990
7.762709268,0.0450,0.0362,0.9751,0.972
8.762704424,0.0498,0.0553,1.0083,1.006
9.763120726,0.0200,0.0328,0.9555,0.952
10.766603225,0.0420,0.0172,1.0205,1.017
11.766890673,0.0469,0.0352,0.9648,0.962
12.767312391,0.0669,0.0034,1.0015,0.999
13.767800203,0.0078,-0.0171,1.0420,1.039
14.768249005,0.0308,0.0260,1.0249,1.021
15.768690463,0.0200,0.0029,1.0386,1.035
16.768987233,0.0298,0.0172,0.9726,0.969
17.769561973,0.0586,0.0059,1.0288,1.026
18.769770826,0.0308,0.0216,0.9707,0.967
19.786364576,0.0420,0.0000,0.9624,0.959
20.772662648,-0.0010,0.0191,0.9502,0.947
21.773703117,0.0313,0.0015,1.0112,1.007
22.773299991,0.0137,-0.0054,0.9927,0.989
23.791657491,0.0347,0.0479,0.9590,0.956
24.788552074,0.0454,0.0406,0.9389,0.936
25.771508324,0.0083,0.0279,1.0220,1.018
26.772618271,-0.0244,0.0313,1.0034,1.001
27.773074156,-0.0362,0.0333,1.1530,1.151
28.774129885,-0.0269,0.0250,0.9824,0.980
29.773325353,-0.0064,0.0357,0.9350,0.932
30.773901707,-0.0073,0.0949,0.8758,0.877
31.773281342,0.0147,0.0323,0.8729,0.869
32.773383581,0.0376,0.0475,0.8968,0.894
33.773687331,0.0112,0.0255,0.9707,0.967
34.775023476,0.0093,0.0401,0.9022,0.899
35.774570039,-0.0107,0.0592,1.0743,1.072
36.774587747,-0.0200,0.0895,0.8836,0.885
37.775040767,-0.0088,0.0372,0.9511,0.948
38.775604569,0.0049,0.0367,0.9409,0.938
39.776252693,-0.0298,0.0304,1.0513,1.049
40.777363995,0.0039,0.0093,1.0161,1.012
41.777576286,0.0406,0.0602,1.0259,1.024
42.777880505,0.0127,0.0792,0.9868,0.986
43.77792915,0.0293,0.0304,1.0059,1.002
44.777857639,0.0024,0.0499,1.0083,1.006
45.778001389,-0.0112,0.0372,0.9917,0.989
46.778284774,0.0298,0.0685,0.8680,0.866
47.778699878,-0.0171,0.0455,1.0283,1.026
48.779097638,0.0225,0.0606,0.9687,0.966
49.780719408,-0.0073,0.0235,0.9790,0.976
50.783820762,-0.0161,0.0181,0.8851,0.882
51.78650972,0.0103,-0.0269,0.9487,0.946
52.788820865,0.0225,-0.0406,0.9780,0.975
53.79653675,0.0254,-0.0474,0.9756,0.973
54.801814771,0.0322,-0.0831,1.0944,1.094
55.794418833,0.0743,-0.1525,0.9296,0.941
56.782030499,0.0655,-0.1173,1.0318,1.036
57.783144405,0.0210,0.0039,0.9809,0.977
