Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,2.72,2.48,9.59
2,1.91,2.13,9.17
3,2.67,0.73,10.35
4,1.09,0.96,8.17
5,1.21,0.34,9.66
6,1.48,0.24,9.53
7,1.60,1.21,9.65
8,2.06,0.03,10.45
9,0.62,1.86,9.78
10,1.66,2.54,10.22
11,1.81,1.71,8.07
12,1.78,0.62,9.11
13,1.21,1.80,9.54
14,1.90,0.99,9.65
15,0.62,-0.09,12.83
16,1.78,0.24,8.50
17,0.34,-4.81,8.92
18,-0.40,-0.97,15.00
19,0.43,-2.80,7.64
20,0.25,-1.07,11.71
21,1.21,0.78,9.79
22,2.13,0.35,10.80
23,2.20,-0.20,10.41
24,1.21,1.20,8.53
25,0.49,1.13,9.25
26,0.33,0.99,10.49
27,1.28,-0.62,9.85
28,1.15,-0.29,10.35
29,1.51,-0.30,10.24
30,1.15,-0.63,10.51
31,0.60,-0.60,9.23
32,0.16,-0.41,10.37
33,0.74,0.11,10.79
34,1.38,0.26,10.36
35,0.45,-1.40,9.83
36,0.77,-1.10,8.42
37,1.16,-0.80,9.88
38,0.03,0.53,9.40
39,1.65,0.04,9.58
40,2.01,-0.63,9.69
41,1.18,-1.97,10.72
42,1.41,-0.82,9.90
43,1.61,-0.39,9.73
44,1.47,-0.17,9.91
45,1.45,0.32,9.53
46,1.18,0.76,9.93
47,1.63,1.88,10.64
48,1.89,2.00,10.06
49,3.44,1.62,8.37
50,-2.54,-2.09,6.10
51,-0.25,-1.53,12.61
52,0.18,-0.94,11.06
53,-5.49,1.03,8.85
54,0.01,1.15,8.78
55,1.72,0.08,8.48
56,0.92,-0.34,10.06
57,0.15,1.52,6.75
58,-1.07,-0.65,5.02
59,1.83,-1.89,9.31
60,0.51,-3.00,9.27
61,0.91,-1.86,6.48
62,-0.48,-1.70,11.41
63,0.96,0.55,9.63
64,1.53,-0.15,12.10
65,2.84,-0.24,9.51
66,1.97,0.63,11.69
67,0.90,0.19,9.95
68,2.56,-0.22,9.41
69,-0.30,-0.50,9.83
70,-0.64,-0.99,9.98
71,0.76,-0.26,9.71
72,1.55,-0.83,10.36
73,1.55,-1.07,10.01
74,1.76,-0.83,9.49
75,1.22,-0.17,9.70
76,1.21,-0.16,9.44
77,1.00,-0.05,9.96
78,1.26,-0.51,9.93
79,0.93,0.00,9.79
80,0.78,-0.06,9.89
81,0.91,0.39,9.89
82,0.74,-0.06,10.63
83,0.79,0.24,7.44
84,0.81,-1.53,9.83
85,1.27,0.57,8.68
86,2.17,-2.65,9.66
87,1.00,-0.19,9.46
88,2.49,-0.32,10.07
89,1.61,-0.14,10.39
90,1.99,-0.21,10.40
91,2.11,-0.59,9.69
92,1.21,-0.21,10.33
93,1.98,-0.66,9.58
94,0.93,-0.18,10.13
95,1.62,3.96,8.98
96,1.97,1.85,9.16
97,2.55,1.44,11.76
98,2.08,-0.62,7.63
99,1.36,-0.31,9.12
100,1.93,0.56,10.96
101,1.29,0.36,9.98
102,0.99,0.68,10.01
103,1.73,-0.40,11.37
104,1.13,-0.57,8.02
105,4.14,-0.19,7.46
106,-0.23,-1.43,10.07
107,1.49,-0.96,7.52
108,0.76,-2.28,9.81
109,3.37,-1.07,9.58
110,1.20,-3.12,14.98
111,-2.73,1.90,11.50
112,0.72,-1.00,10.68
113,1.69,-0.95,9.91
114,0.79,-0.08,9.55
115,1.23,-0.17,9.42
116,0.23,1.32,10.25
117,1.02,0.14,9.81
118,0.55,0.72,10.24
119,1.16,-0.09,9.80
120,0.55,0.32,10.01
121,0.38,0.28,9.32
122,0.40,-0.62,9.11
123,1.25,-2.57,10.04
124,1.64,-0.90,10.96
125,1.19,0.48,10.81
126,2.88,-1.31,10.29
127,1.96,-1.00,9.83
128,1.09,-0.69,9.98
129,1.46,-0.79,9.67
130,1.63,-0.36,9.53
131,1.78,-0.18,9.64
132,1.50,-0.25,9.57
133,1.64,-0.17,9.85
134,1.42,-0.19,9.77
135,1.70,-0.03,9.73
136,1.68,-0.14,9.68
137,1.53,-0.25,10.01
138,1.71,-0.21,9.49
139,1.78,-0.24,9.47
140,1.80,-0.18,9.64
141,1.71,-0.17,9.56
142,1.66,-0.14,9.69
143,1.83,-0.09,9.77
144,1.55,0.12,9.45
145,1.44,-0.11,9.89
146,1.57,-0.11,9.84
147,1.60,-0.23,9.86
148,1.67,0.15,9.48
149,1.86,2.26,9.16
150,1.69,1.67,7.61
151,3.55,3.45,10.71
152,0.20,4.53,13.11
153,3.68,8.21,13.99
154,0.26,5.20,13.15
155,4.54,-1.15,13.18
156,1.12,-1.52,15.31
157,0.71,0.74,12.32
158,1.66,-0.33,10.00
159,3.61,-2.32,11.10
160,0.63,0.31,10.58
161,1.31,-0.94,6.00
162,2.02,-0.48,10.04
163,1.22,-2.01,10.30
164,0.99,-1.16,8.76
165,0.86,-0.53,11.45
166,3.14,0.46,7.87
167,1.00,1.00,11.13
168,1.53,-0.73,10.65
169,0.55,1.22,9.39
170,1.57,0.79,9.61
171,1.16,0.42,10.79
172,1.43,0.54,10.47
173,0.73,0.55,5.51
174,0.87,-0.88,10.42
175,-0.87,0.28,10.73
176,0.35,-1.60,8.71
177,0.24,-0.27,9.41
178,0.82,-1.33,9.80
179,0.38,-0.38,10.27
180,1.27,-0.29,9.13
181,0.77,-1.98,9.17
182,0.74,-0.69,9.06
183,2.01,-0.88,10.05
184,1.61,-1.33,11.25
185,1.72,-0.18,8.43
186,1.31,0.21,10.71
187,0.90,-0.61,8.84
188,1.12,0.39,10.00
189,1.12,-0.08,9.95
190,0.86,0.55,10.13
191,1.79,-0.99,9.66
192,1.56,0.81,9.47
193,0.47,-0.03,10.02
194,1.41,0.29,9.45
195,1.28,0.56,9.88
196,1.64,2.13,9.50
197,1.39,0.60,10.48
198,0.67,2.17,10.10
199,0.83,2.35,10.24
200,1.81,-0.12,7.54
201,0.37,3.01,9.37
202,0.99,-0.02,9.69
203,0.68,1.18,6.92
204,2.92,-2.14,9.18
205,1.65,-1.21,13.90
206,-0.74,0.33,4.65
207,1.29,-2.17,12.04
208,0.36,0.60,9.81
209,1.61,0.65,9.87
210,1.07,0.49,11.36
211,1.41,-0.35,8.82
212,1.99,-0.71,9.83
213,2.37,-0.44,10.03
214,2.19,-0.11,9.86
215,1.57,0.76,10.98
216,1.58,0.62,9.54
217,0.96,0.22,10.98
218,0.39,0.72,9.70
219,0.19,-0.99,13.59
220,1.93,-0.56,9.89
221,1.92,1.10,8.41
222,0.50,0.44,9.84
223,2.49,0.26,9.90
224,1.29,-0.81,9.42
225,1.19,-0.86,10.36
226,1.71,-0.59,8.69
227,1.61,-0.60,10.02
228,1.48,-0.55,9.64
229,1.24,-0.19,9.46
230,1.05,0.36,9.99
231,0.26,0.46,9.81
232,0.33,0.20,9.73
233,1.79,-0.64,9.92
234,0.40,-0.20,9.22
235,1.74,-0.21,9.96
236,1.32,1.57,8.76
237,0.99,0.50,10.26
238,1.36,2.27,9.74
239,0.83,1.15,9.68
240,1.51,1.15,9.55
