Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,-1.15,1.10,8.60
2,-0.68,-0.08,8.95
3,0.06,1.03,10.17
4,0.74,0.55,9.82
5,1.22,0.47,8.59
6,1.43,0.27,9.90
7,1.63,0.68,9.79
8,1.38,0.64,9.57
9,1.07,0.75,10.45
10,0.57,0.31,10.17
11,0.91,0.50,9.88
12,0.68,-0.30,10.05
13,1.13,0.50,9.99
14,0.67,0.01,10.19
15,0.65,0.12,9.98
16,0.71,-0.18,9.24
17,0.83,-0.13,10.53
18,0.68,0.07,9.87
19,0.88,0.32,9.60
20,0.64,0.13,9.79
21,0.34,-0.46,9.42
22,1.00,-0.16,9.98
23,0.54,-0.03,9.45
24,0.67,-0.09,9.56
25,1.00,0.03,10.04
26,0.46,0.20,9.64
27,0.45,0.12,9.93
28,0.44,-0.14,10.07
29,0.40,-0.04,10.13
30,0.82,-0.16,10.24
31,0.57,-0.04,10.04
32,0.41,0.98,9.21
33,0.83,0.03,9.89
34,0.60,0.38,10.28
35,0.84,0.77,10.69
36,0.74,0.26,10.02
37,0.62,1.11,9.27
38,0.13,0.20,10.08
39,0.52,0.60,10.73
40,0.15,0.63,9.46
41,0.15,0.39,9.65
42,0.61,0.26,10.41
43,0.57,0.23,9.08
44,0.68,0.33,10.05
45,0.80,0.13,10.49
46,0.46,0.80,9.48
47,0.88,0.37,10.44
48,0.48,0.37,9.76
49,0.75,0.67,10.52
50,0.14,0.08,9.34
51,0.56,0.34,10.07
52,-0.11,0.28,9.70
53,-0.04,0.39,9.78
54,0.38,-0.51,8.70
55,0.30,-0.17,8.70
56,0.63,-0.75,10.78
57,0.87,-1.32,9.11
58,1.05,-1.19,9.70
59,0.72,-0.86,10.05
60,0.50,-0.02,9.55
61,0.77,-0.67,10.35
62,0.74,-0.68,9.80
63,0.58,-0.41,8.95
64,1.29,0.19,9.47
65,0.54,0.11,9.54
66,3.15,1.24,9.91
67,-0.37,-0.45,9.82
68,0.64,0.65,10.06
69,0.24,0.51,8.94
70,0.81,0.73,9.77
71,0.83,1.07,9.76
72,0.77,1.98,9.72
73,-0.14,3.01,8.50
74,-0.82,1.93,9.16
75,0.96,4.01,7.81
76,-0.68,0.77,10.01
77,-0.69,0.63,9.19
78,-0.23,-0.04,11.00
79,0.20,3.32,9.41
80,-0.81,-0.28,11.71
81,1.20,1.54,8.78
82,0.91,0.90,10.67
83,1.22,0.50,9.82
84,0.83,1.74,9.62
85,0.29,2.05,9.56
86,0.93,3.37,9.54
87,0.25,2.46,9.17
88,1.55,2.60,9.63
89,1.27,2.41,9.10
90,1.16,2.75,9.42
91,1.26,2.84,9.77
92,1.15,2.55,9.75
93,0.92,2.43,8.83
94,0.93,2.50,9.50
95,0.58,2.31,9.47
96,0.65,2.45,9.13
97,0.56,1.98,10.01
98,0.86,1.82,9.62
99,0.76,1.94,9.83
100,0.60,2.14,8.92
101,1.30,1.95,9.22
102,0.99,2.08,9.50
103,0.97,1.52,10.33
104,1.05,1.93,8.69
105,1.11,2.29,10.17
106,1.08,1.97,9.42
