Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,2.21,-0.13,8.85
2,3.04,-0.23,10.64
3,2.55,0.71,10.21
4,3.14,0.09,10.30
5,2.54,-0.78,9.79
6,2.09,0.73,9.61
7,2.38,0.63,9.52
8,2.80,0.57,11.06
9,2.62,0.54,10.46
10,3.08,0.76,10.52
11,3.42,0.61,10.47
12,2.03,0.69,11.12
13,0.86,-0.59,10.01
14,2.20,0.68,9.83
15,2.76,-0.34,7.97
16,1.90,-0.21,9.45
17,2.87,0.34,7.78
18,2.55,1.38,11.08
19,2.22,-0.24,10.35
20,2.01,0.80,9.76
21,2.62,0.78,8.18
22,2.67,1.16,10.20
23,3.24,0.64,9.57
24,2.98,0.11,8.71
25,3.08,0.37,11.06
26,2.68,1.48,8.16
27,3.99,-0.47,9.31
28,3.94,0.33,9.35
29,3.10,1.42,9.19
30,3.25,0.72,9.67
31,2.85,0.11,8.52
32,3.34,0.77,9.08
33,3.08,0.60,9.03
34,4.04,0.99,8.72
35,3.46,1.92,8.64
36,2.36,-0.41,9.28
37,3.29,1.65,10.60
38,4.80,0.24,9.29
39,4.75,0.99,6.59
40,2.02,-0.16,8.64
41,3.30,2.12,11.95
42,5.06,0.16,11.44
43,3.00,0.19,7.14
44,2.24,1.54,13.80
45,4.33,0.18,6.37
46,4.05,-0.38,8.29
47,3.07,2.22,12.35
48,3.98,-1.02,8.13
49,1.23,0.07,11.74
50,4.50,1.21,7.88
51,2.18,0.91,8.68
52,4.98,0.71,5.20
53,2.27,0.97,9.69
54,3.96,0.61,7.06
55,3.82,0.06,11.18
56,1.83,-0.15,13.75
57,3.23,-0.31,8.55
58,5.20,1.43,5.68
59,2.83,1.64,11.52
60,3.01,1.90,12.41
61,2.71,0.68,10.70
62,4.03,1.31,8.39
63,2.72,1.24,7.64
64,2.97,0.66,7.20
65,3.63,0.48,8.63
66,2.44,0.49,8.09
67,2.74,0.76,10.00
68,2.93,1.28,8.94
69,3.17,0.57,9.22
70,2.36,0.46,10.46
71,2.92,-0.02,10.50
72,3.40,0.82,10.43
73,2.89,2.56,9.16
74,3.52,0.91,9.06
75,2.96,-0.02,9.47
76,2.78,-0.58,8.77
77,2.42,2.51,9.75
78,2.97,1.43,11.31
79,3.58,0.06,8.82
80,3.15,-0.11,9.96
81,3.37,0.44,10.10
82,3.34,0.83,10.75
83,3.02,0.33,9.56
84,2.18,-0.10,9.73
85,2.50,-0.14,10.50
86,3.24,-0.72,8.59
87,3.44,0.84,13.37
88,2.31,-0.84,9.80
89,3.39,0.08,8.01
90,3.41,1.01,10.47
91,2.59,1.48,9.59
92,2.11,-0.06,9.79
93,2.54,0.15,7.30
94,1.83,0.55,9.75
95,2.56,-0.58,11.71
96,1.73,-0.31,11.70
97,4.30,0.28,12.70
98,2.55,0.25,10.25
99,3.58,-1.01,8.54
100,2.16,1.66,9.92
101,4.52,2.09,8.54
102,1.76,0.87,11.61
103,3.35,-0.20,7.89
104,2.03,1.36,10.23
105,2.83,0.70,10.84
106,4.07,1.02,10.45
107,2.36,0.76,9.17
108,3.14,0.47,7.54
109,1.90,1.63,8.92
110,3.04,0.10,11.23
111,2.58,1.34,9.95
112,3.01,0.82,11.53
113,3.20,0.46,9.05
114,2.94,1.66,11.13
115,1.70,0.10,10.72
116,3.92,0.46,9.04
117,2.04,1.73,10.95
118,2.22,0.71,9.49
119,2.51,1.17,7.05
120,2.91,1.70,9.82
121,1.41,0.54,12.16
122,2.91,0.44,7.99
123,3.40,0.95,7.72
124,2.66,0.96,8.58
125,1.31,0.61,11.73
126,2.72,0.61,6.74
127,3.32,0.66,8.81
128,2.23,0.29,11.33
129,2.36,1.88,10.39
130,1.70,0.19,8.89
131,4.92,-0.11,7.15
132,4.66,2.56,11.39
133,3.09,0.25,13.32
134,3.28,0.85,11.71
135,1.93,0.56,10.10
136,1.32,1.64,12.54
137,3.99,1.57,10.13
138,2.55,1.07,10.27
139,2.90,0.15,10.60
140,3.46,0.59,8.59
141,4.67,1.39,7.18
142,3.28,0.62,7.91
143,3.57,0.96,10.37
144,2.68,-0.26,9.48
145,1.87,0.42,10.59
146,1.36,0.12,11.11
147,1.57,0.92,12.11
148,0.59,1.16,11.52
149,1.47,1.16,10.95
150,2.02,1.58,14.64
151,1.91,2.15,13.18
152,1.09,1.62,10.46
153,1.73,1.37,12.06
154,2.18,-0.02,14.41
155,1.79,-0.81,12.15
156,2.37,2.03,9.46
157,3.26,0.90,7.97
158,6.40,3.85,8.17
159,4.01,0.78,6.67
160,1.51,-1.02,10.12
161,1.54,0.45,8.26
162,1.23,-0.97,9.80
163,4.31,1.18,9.24
164,3.51,-0.50,7.29
165,2.63,1.04,9.67
166,1.13,0.91,11.01
167,2.77,1.76,9.33
168,2.84,1.03,7.81
169,2.73,1.53,7.27
170,3.24,1.28,12.40
171,3.05,0.41,9.93
172,6.25,2.37,7.36
173,2.16,1.16,9.79
174,1.65,1.60,10.18
175,4.52,1.08,9.93
176,3.11,0.02,5.77
177,1.24,-0.29,9.85
178,2.81,0.26,9.37
179,2.33,0.81,8.81
180,2.39,1.00,10.94
181,4.15,0.63,11.85
182,2.94,-0.11,9.11
183,1.61,-0.31,8.69
184,3.50,0.71,12.14
185,2.82,-0.54,11.36
186,0.66,0.88,11.23
187,3.68,1.57,13.30
188,3.54,0.39,8.09
189,4.55,2.03,8.68
190,3.00,1.26,8.46
191,3.44,1.42,7.68
192,2.70,2.78,10.12
193,1.46,1.87,11.64
194,2.93,2.39,9.06
195,1.64,1.58,11.29
196,2.99,0.50,9.64
197,1.33,1.69,13.91
198,3.27,1.99,7.00
199,2.69,0.69,10.21
200,1.46,0.83,12.65
201,1.32,1.08,10.23
202,1.86,0.28,9.24
203,0.98,1.03,12.22
204,2.70,0.84,9.49
205,2.16,-0.29,9.95
206,3.57,1.67,9.18
207,0.60,-0.24,9.26
208,2.98,1.71,10.58
209,1.61,0.28,9.37
210,-0.75,1.02,11.93
211,3.33,1.28,7.86
212,0.75,-0.50,9.67
213,1.34,1.68,9.88
214,3.27,-0.04,7.66
