time,gFx,gFy,gFz,TgF
1,-0.0734,0.0201,0.9946,0.995
2,-0.0376,0.0577,1.021,1.02
3,-0.1819,-0.0156,0.8749,0.894
4,-0.1344,0.1438,0.9315,0.95
5,0.0142,0.1032,0.8348,0.837
6,-0.1051,-0.1071,1.4625,1.468
7,-0.1071,0.024,0.3214,0.342
8,0.0303,0.0636,0.6382,0.637
9,0.132,-0.1085,0.7355,0.749
10,-0.0137,-0.022,1.0787,1.076
11,-0.0997,0.1462,0.8475,0.863
12,-0.0905,0.0929,0.9546,0.961
13,-0.1076,0.0225,1.0846,1.088
14,0.0386,0.0034,0.827,0.823
15,-0.1555,0.0279,0.9902,1.002
16,-0.1261,0.065,0.9897,0.998
17,-0.1276,0.0304,1.0973,1.104
18,0.0415,0.1237,0.8665,0.871
19,-0.1051,0.0929,0.935,0.943
20,-0.1203,-0.0899,1.178,1.186
21,-0.0431,0.0333,1.1892,1.187
22,-0.108,0.0352,0.9726,0.978
23,-0.1002,0.0157,0.9976,1.001
24,-0.109,0.0606,1.0381,1.044
25,-0.047,0.0509,1.2796,1.278
26,-0.0269,0.0333,1.0059,1.003
27,-0.0782,0.1423,0.9849,0.995
28,-0.046,0.0983,0.9829,0.985
29,-0.0093,0.0162,1.0587,1.055
30,-0.1677,-0.1203,1.0044,1.026
31,0.0401,-0.0792,1.2283,1.228
32,-0.1917,0.1599,1.438,1.458
33,-0.1002,-0.0992,0.869,0.88
34,-0.0694,0.0005,0.9893,0.989
35,-0.0734,0.0078,0.9849,0.985
36,-0.0421,0.1051,0.9374,0.941
37,-0.0997,0.0352,0.9531,0.957
38,-0.0734,0.0103,0.9888,0.989
39,-0.0753,0.0122,0.9936,0.994
40,-0.0729,0.0137,0.9907,0.991
41,-0.0738,0.0127,0.9932,0.994
42,-0.0738,0.0127,0.9922,0.993
43,-0.0714,0.0137,0.9951,0.995
44,-0.0719,0.0098,0.9927,0.993
45,-0.0719,0.0127,0.9922,0.993
46,-0.0724,0.0122,0.9932,0.994
47,-0.0753,0.0132,0.9927,0.993
48,-0.0797,0.0162,1.0127,1.014
