Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,-0.97,0.0,0.97
2,-0.96,0.0,0.99
3,-0.96,-0.01,0.99
4,-1.02,-0.05,1.02
5,-1.1400000000000001,-0.04,1.04
6,-1.04,0.05,1.08
7,-0.83,0.03,0.85
8,-1.0,-0.02,0.92
9,-0.9,0.04,1.46
10,-0.95,-0.02,0.5
11,-1.04,0.03,0.95
12,-0.94,-0.03,1.11
13,-0.96,0.01,1.12
14,-1.0,0.0,0.89
15,-0.89,0.01,0.76
16,-0.89,-0.05,0.94
17,-0.92,-0.06,1.02
18,-0.9299999999999999,-0.07,0.97
19,-0.94,-0.05,0.97
20,-1.01,-0.01,0.98
21,-0.97,-0.13,0.96
22,-1.05,0.03,0.78
23,-0.97,-0.07,0.92
24,-0.96,0.02,0.94
25,-0.9,-0.0,1.09
26,-1.01,-0.06,0.64
27,-1.03,-0.06,0.96
28,-1.05,0.03,1.08
29,-1.02,-0.03,0.88
30,-0.74,0.1,1.02
31,-0.97,0.07,1.14
32,-0.87,-0.04,1.01
33,-1.03,0.04,0.53
34,-0.91,-0.01,1.08
35,-0.96,0.01,1.0
36,-0.95,0.0,1.01
37,-0.95,0.05,0.99
38,-1.06,-0.03,0.93
39,-0.96,0.0,0.99
40,-0.95,0.0,1.0
41,-0.95,0.0,0.98
42,-0.96,0.0,0.99
43,-0.96,0.0,0.99
44,-0.95,0.01,0.99
45,-0.95,0.0,0.98
46,-0.96,0.0,0.99
47,-0.96,0.0,0.98
48,-0.96,0.0,0.98
