time,gFx,gFy,gFz,TgF
1,1.0291,0.0191,0.0198,1.01
2,1.034,0.0132,0.0139,1.014
3,1.0281,0.0181,0.0134,1.009
4,1.0291,0.0167,0.0149,1.01
5,0.8267,0.0049,0.0061,0.807
6,1.0291,0.0211,0.036,1.01
7,1.0193,-0.0039,0.0149,1.0
8,1.0457,0.0127,0.0208,1.026
9,1.0227,0.0137,0.01,1.003
10,1.032,0.0299,0.0223,1.013
11,1.0354,0.0132,0.0438,1.017
12,1.0286,0.0147,-0.0095,1.009
13,1.0271,0.0167,0.0281,1.008
14,1.0349,0.0167,0.0105,1.015
15,1.009,0.0196,0.0233,0.99
16,1.0291,0.0088,0.0076,1.01
17,1.0159,0.0083,0.0296,0.997
18,1.0276,-0.001,0.0228,1.008
19,1.0418,0.0172,0.0296,1.023
20,1.0276,0.0103,0.055,1.009
21,1.0296,0.0255,0.0037,1.01
22,1.0291,0.0201,0.0212,1.01
23,1.0389,0.0279,0.0022,1.02
24,1.0276,0.0103,0.0257,1.008
25,1.031,0.0103,0.0085,1.012
26,1.0315,0.0117,0.0228,1.012
27,1.0213,0.0206,0.0178,1.002
28,1.0418,0.025,-0.0271,1.023
29,1.0281,0.0147,-0.0007,1.009
30,1.0261,0.0107,0.0183,1.007
31,1.0261,0.0201,0.0002,1.007
32,1.032,0.0078,0.0071,1.012
33,1.0266,0.023,0.0369,1.008
34,1.0222,-0.0132,0.0482,1.004
35,1.0257,0.0078,0.0212,1.006
36,1.031,0.0157,0.011,1.012
37,1.031,0.0127,0.0159,1.012
38,1.031,0.0152,0.0164,1.012
39,1.0325,0.0127,0.0183,1.013
40,1.0305,0.0147,0.0149,1.011
41,1.0305,0.0147,0.0139,1.011
42,1.0271,0.0137,0.0154,1.008
43,1.0301,0.0157,0.0129,1.011
44,1.0276,0.0147,0.0173,1.008
45,1.0071,0.0196,0.0609,0.989
46,1.0125,0.0172,0.0609,0.995
47,1.0252,0.0181,0.0262,1.006
48,1.0291,0.0172,0.0521,1.011
49,1.0315,0.0172,0.0257,1.012
50,1.0178,0.0245,0.0624,1.0
51,1.0393,0.0225,-0.0144,1.02
52,1.033,0.022,0.0413,1.014
53,1.0354,0.0196,0.0041,1.016
54,1.033,0.0122,0.0218,1.014
55,1.0398,0.0211,0.0139,1.02
56,1.0379,0.0029,-0.0178,1.019
57,1.0217,0.0348,0.0223,1.003
58,1.0286,0.023,-0.0076,1.009
59,1.0198,0.0005,0.0129,1.0
60,1.0296,0.0137,0.0409,1.011
61,1.0315,0.0098,0.0223,1.012
62,1.0257,0.0132,0.0247,1.006
63,1.0384,0.0112,0.0228,1.019
64,1.0442,0.0093,0.0159,1.025
65,1.0291,0.0147,0.0203,1.01
66,1.0413,0.025,0.035,1.022
67,1.0266,0.0279,0.0139,1.007
68,1.01,0.0196,0.0457,0.991
69,1.0242,0.0078,0.0267,1.005
70,1.031,0.0216,0.0291,1.012
71,1.0198,0.0073,0.0252,1.0
72,1.0242,0.0083,-0.0022,1.005
73,1.0271,0.0152,0.0193,1.008
74,1.031,0.0177,0.0159,1.012
75,1.0305,0.0157,0.0159,1.011
76,1.0213,0.0147,0.0193,1.002
77,1.0301,0.0177,0.0178,1.011
