time,gFx,gFy,gFz,TgF
1,0.0044,1.0032,0.0046,0.996
2,0.0122,0.99,0.0032,0.983
3,0.0054,1.0061,0.0134,0.999
4,0.0171,1.0301,0.0242,1.023
5,0.0029,1.0149,0.0105,1.008
6,0.0142,1.0105,0.0081,1.004
7,0.0142,1.0095,-0.0007,1.003
8,0.0059,1.013,-0.0007,1.006
9,0.0064,0.9988,0.0037,0.992
10,0.0073,1.0139,-0.0051,1.007
11,0.0093,1.0017,0.0193,0.995
12,0.0093,0.9959,0.0277,0.989
13,0.0156,1.0183,-0.0105,1.011
14,-0.001,1.0071,-0.0086,1.0
15,-0.0059,0.9998,0.0017,0.993
16,-0.0073,0.9929,0.0212,0.986
17,0.0142,1.0086,-0.0252,1.002
18,0.0,1.0086,0.0335,1.002
19,-0.0034,1.0105,0.0012,1.004
20,0.0054,1.013,-0.0056,1.006
21,-0.0015,1.01,0.0032,1.003
22,0.0054,1.0042,0.0198,0.997
23,0.0117,1.0071,0.0041,1.0
24,0.0034,1.0032,0.0169,0.996
25,0.0103,1.011,0.009,1.004
26,0.0054,1.0076,0.0125,1.001
27,0.0073,1.0164,-0.0472,1.011
28,0.0127,1.0081,0.0056,1.001
29,0.0137,0.9963,0.0242,0.99
30,0.0044,1.0037,0.0022,0.997
31,0.0044,1.0076,0.0027,1.001
32,0.02,1.0154,0.0672,1.01
33,0.0068,1.0076,-0.0042,1.001
34,0.0088,1.0071,0.0061,1.0
35,0.0112,1.0042,0.0085,0.997
36,0.0064,1.0081,0.0046,1.001
37,0.0064,1.0066,0.0071,1.0
38,-0.0127,1.0037,-0.2217,1.022
39,0.0078,1.0061,0.0095,0.999
40,-0.0411,1.0413,0.0173,1.036
41,0.0015,1.0134,-0.0051,1.007
42,0.0044,1.0076,-0.0007,1.001
43,0.0034,0.9973,0.012,0.99
44,-0.0073,1.0051,0.0247,0.999
45,0.0029,1.0051,-0.0037,0.998
46,0.0029,0.9983,0.0218,0.992
47,0.0029,1.0032,0.0012,0.996
48,0.0078,1.0017,-0.0174,0.995
49,-0.0112,1.0164,-0.0384,1.011
50,0.0044,1.0115,0.0134,1.005
51,-0.0039,1.0125,0.0193,1.006
52,0.0142,1.0086,0.0076,1.002
53,-0.0015,1.0056,0.0208,0.999
54,0.0024,1.0086,-0.0261,1.002
55,0.0005,1.0017,0.0037,0.995
56,0.0215,0.9963,0.0443,0.99
57,-0.0044,0.9905,0.0041,0.984
58,-0.0029,0.9919,0.0076,0.985
59,0.0068,1.0164,0.0228,1.01
60,0.0127,0.9988,0.0066,0.992
61,0.0127,1.0056,-0.0281,0.999
62,0.0093,1.0037,-0.0374,0.998
63,0.0,1.0027,0.0066,0.996
64,0.0039,0.9968,-0.0291,0.99
65,-0.0024,1.012,0.0056,1.005
66,-0.0117,1.0003,0.0037,0.994
67,0.0171,0.8468,-0.0032,0.84
68,0.0078,1.0017,0.0076,0.995
69,0.0054,1.0042,0.0076,0.997
70,0.0078,1.0032,0.0071,0.996
