Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,1.06,0.0,-0.08
2,1.06,0.0,-0.09
3,1.06,0.0,-0.09
4,1.06,-0.0,-0.09
5,1.06,-0.01,-0.09
6,1.03,-0.0,-0.1
7,1.05,0.02,-0.1
8,1.06,0.01,-0.08
9,1.06,-0.0,-0.08
10,1.04,0.01,-0.09
11,1.06,-0.01,-0.08
12,1.06,0.0,-0.09
13,1.07,-0.0,-0.09
14,1.04,0.0,-0.08
15,1.06,0.01,-0.09
16,1.06,-0.0,-0.09
17,1.05,0.01,-0.12
18,1.06,0.0,-0.09
19,1.05,-0.01,-0.08
20,1.06,0.0,-0.09
21,1.04,-0.0,-0.08
22,1.04,0.02,-0.08
23,1.06,-0.0,-0.09
24,1.04,0.0,-0.08
25,1.06,-0.0,-0.08
26,1.07,-0.01,-0.08
27,1.04,0.0,-0.09
28,1.06,0.01,-0.08
29,1.06,-0.0,-0.07
30,1.06,-0.02,-0.08
31,1.05,0.01,-0.08
32,1.06,0.01,-0.09
33,1.05,0.0,-0.1
34,1.05,0.03,-0.08
35,1.06,-0.0,-0.08
36,1.06,-0.0,-0.09
37,1.06,-0.01,-0.08
38,1.06,-0.01,-0.08
39,1.06,0.0,-0.08
40,1.06,0.0,-0.08
41,1.06,-0.0,-0.09
42,1.06,0.0,-0.08
43,1.05,-0.0,-0.08
44,1.05,-0.01,-0.1
45,1.02,0.0,-0.08
46,1.04,0.01,-0.09
47,1.06,0.01,-0.08
48,1.05,-0.01,-0.07
49,1.06,0.01,-0.08
50,1.05,0.0,-0.07
51,1.06,-0.0,-0.08
52,1.04,-0.0,-0.1
53,1.05,0.0,-0.07
54,1.06,-0.01,-0.09
55,1.04,0.01,-0.09
56,1.05,0.0,-0.08
57,1.05,0.01,-0.09
58,1.05,-0.01,-0.09
59,1.05,0.01,-0.05
60,1.06,-0.01,-0.09
61,1.06,-0.0,-0.07
62,1.02,0.04,-0.18
63,1.05,-0.01,-0.07
64,1.06,-0.01,-0.08
65,1.07,-0.0,-0.08
66,1.05,-0.0,-0.11
67,1.07,-0.0,-0.18
68,1.02,-0.0,-0.08
69,1.04,-0.01,-0.08
70,1.06,0.0,-0.09
71,1.06,0.0,-0.07
72,1.02,0.0,-0.1
73,1.04,0.0,-0.08
74,1.05,-0.01,-0.08
75,1.06,0.0,-0.09
76,1.04,0.02,-0.09
77,1.05,-0.0,-0.08
