Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,0.05,0.99,-0.03
2,0.04,0.98,-0.03
3,0.04,0.99,-0.04
4,0.05,0.98,-0.03
5,0.01,0.99,-0.05
6,0.06,1.06,-0.02
7,0.04,0.96,-0.03
8,0.04,0.99,-0.02
9,0.04,1.01,-0.03
10,0.05,0.98,-0.03
11,0.05,0.98,-0.03
12,0.05,1.01,-0.04
13,0.05,0.97,-0.03
14,0.04,1.00,-0.01
15,0.04,1.00,-0.03
16,0.05,0.99,-0.02
17,0.03,0.98,-0.04
18,0.04,1.01,-0.05
19,0.04,0.98,-0.02
20,0.06,1.00,-0.01
21,0.03,0.96,-0.03
22,0.03,0.99,-0.02
23,0.04,0.99,-0.04
24,0.04,0.98,-0.02
25,0.04,1.00,-0.04
26,0.04,1.00,-0.03
27,0.05,0.98,-0.04
28,0.04,1.00,-0.02
29,0.05,1.01,-0.03
30,0.03,0.97,-0.04
31,0.04,1.00,-0.02
32,0.03,0.97,-0.04
33,0.03,0.94,-0.06
34,0.04,1.00,-0.03
35,0.04,0.99,-0.03
36,0.04,1.00,-0.03
37,0.04,0.99,-0.04
38,0.04,0.99,-0.03
39,0.04,0.99,-0.03
40,0.04,0.99,-0.03
41,0.04,1.01,-0.02
42,0.05,1.02,-0.04
43,0.03,0.99,-0.03
44,0.04,0.99,-0.02
45,0.04,1.00,-0.04
46,0.04,1.00,-0.03
47,0.05,0.99,-0.04
48,0.05,1.02,-0.04
49,0.04,1.00,-0.02
50,0.04,0.99,-0.03
51,0.04,1.00,-0.02
52,0.04,1.01,-0.03
53,0.05,0.99,-0.02
54,0.03,0.97,-0.01
55,0.03,0.99,-0.02
56,0.06,1.01,-0.01
57,0.03,0.95,-0.04
58,0.04,0.98,-0.03
59,0.05,0.99,-0.02
60,0.04,1.00,-0.03
61,0.04,0.98,-0.03
62,0.05,1.00,-0.03
63,0.04,0.99,-0.03
64,0.04,1.01,-0.03
65,0.04,1.00,-0.02
66,0.04,1.01,-0.04
67,0.06,1.04,-0.03
68,0.07,1.01,0.02
69,0.04,0.99,-0.05
70,0.04,0.99,-0.03
