time,gFx,gFy,gFz,TgF
0,-0.0156,-0.0064,1.0005,0.997
1,-0.0151,-0.0054,0.9961,0.993
2,-0.0137,-0.0044,0.9961,0.993
3,-0.0151,-0.0029,0.9976,0.994
4,-0.0161,-0.0083,0.999,0.996
5,-0.0161,-0.0049,1.0005,0.997
6,-0.0147,-0.0059,0.9995,0.996
7,-0.0181,-0.0068,0.8587,0.856
8,-0.0127,-0.0015,0.9976,0.994
9,-0.0083,0.0015,1.0117,1.008
10,-0.0176,-0.0078,1.0137,1.011
11,-0.0107,0.0015,0.9897,0.986
12,-0.0083,-0.0039,0.9985,0.995
13,-0.001,-0.0024,0.9629,0.959
14,-0.0235,0.0,1.0181,1.015
15,-0.0156,-0.0044,1.0327,1.03
16,-0.0298,-0.0112,1.0015,0.999
17,-0.0107,-0.0093,0.958,0.955
18,-0.0166,-0.001,0.9917,0.989
19,-0.0151,0.0,0.9707,0.967
20,-0.0054,-0.0049,0.9673,0.964
21,-0.0117,0.0064,0.9971,0.994
22,-0.0132,-0.0044,0.979,0.976
23,-0.0166,-0.021,0.9844,0.982
24,-0.0205,-0.0044,1.0029,1.0
25,-0.0093,-0.0205,0.998,0.995
26,-0.0142,-0.0088,1.0122,1.009
27,-0.0156,-0.0024,1.0093,1.006
28,-0.0225,-0.0064,1.0005,0.998
29,-0.0064,-0.0005,0.9932,0.99
30,-0.02,-0.0156,1.0112,1.008
31,-0.0166,-0.0107,0.9976,0.995
32,-0.0215,-0.0073,1.0239,1.021
33,-0.0142,0.0044,1.0064,1.003
34,-0.0191,-0.0078,1.0068,1.004
35,-0.0191,0.0024,1.0122,1.009
36,-0.0078,0.002,1.0054,1.002
37,-0.0107,-0.0029,0.98,0.977
38,-0.0117,-0.0054,0.9922,0.989
39,-0.0117,-0.0034,0.9932,0.99
40,-0.0112,-0.0034,0.9946,0.991
41,-0.0142,-0.0064,1.0,0.997
42,-0.0147,-0.0064,0.9971,0.994
43,-0.0127,-0.0039,0.9995,0.996
44,-0.0127,-0.002,0.9961,0.993
45,-0.0205,-0.0064,1.0171,1.014
46,-0.0142,0.0034,0.9873,0.984
47,-0.0098,-0.0029,0.9951,0.992
48,-0.0195,0.0029,0.9961,0.993
49,-0.0005,-0.002,0.9751,0.971
50,-0.002,-0.0059,0.9702,0.967
51,-0.0181,-0.0005,1.0034,1.0
52,0.001,0.0039,0.9956,0.992
53,-0.0151,-0.0049,1.0142,1.011
54,-0.0132,-0.0073,0.9697,0.967
55,-0.0039,-0.0088,0.9819,0.978
56,-0.0156,-0.0088,1.0181,1.015
57,-0.0049,-0.0064,0.9927,0.989
58,-0.0279,-0.0049,0.9936,0.991
59,-0.0205,-0.0088,0.9873,0.984
60,-0.0107,-0.0103,0.9795,0.976
61,-0.0166,-0.0059,0.9629,0.96
62,-0.0215,0.0142,0.9956,0.993
63,-0.0132,-0.0176,1.0171,1.014
64,-0.0156,-0.001,0.977,0.974
65,-0.0049,-0.0078,1.0093,1.006
66,-0.0147,-0.0044,0.9946,0.991
67,0.0,-0.0005,0.9819,0.978
68,-0.0259,-0.0044,1.0376,1.035
69,-0.0112,-0.0103,0.9849,0.982
70,-0.0083,-0.0137,0.9638,0.961
71,-0.0205,-0.0147,0.9839,0.981
72,-0.0024,0.001,1.0,0.996
73,-0.0132,-0.002,0.9853,0.982
74,-0.0166,-0.0073,0.9941,0.991
75,-0.0127,-0.0068,1.0,0.997
