time,gFx,gFy,gFz,TgF
0.784646249,0.0235,0.0103,1.0049,1.001
1.785382239,0.0254,0.0078,1.0039,1.000
2.785477342,0.0249,0.0103,1.0029,0.999
3.785741769,0.0254,0.0078,1.0034,1.000
4.789876092,0.0254,0.0068,1.0024,0.999
5.790412393,0.0230,0.0103,0.9990,0.995
6.791263122,0.0254,0.0093,0.9976,0.994
7.792071247,0.0249,0.0088,0.9966,0.993
8.79321958,0.0235,0.0098,0.9990,0.995
9.794378381,0.0254,0.0083,0.9995,0.996
10.794112339,0.0244,0.0083,1.0000,0.996
11.795097131,0.0254,0.0103,0.9995,0.996
12.794843797,0.0244,0.0093,1.0005,0.997
13.795168119,0.0254,0.0088,1.0029,0.999
14.796766088,0.0239,0.0098,1.0005,0.997
15.79818666,0.0235,0.0078,1.0010,0.997
16.798839004,0.0249,0.0078,1.0005,0.997
17.80133041,0.0230,0.0088,1.0010,0.997
18.803154888,0.0249,0.0083,1.0010,0.997
19.805715721,0.0249,0.0088,0.9990,0.995
20.816291242,0.0244,0.0103,1.0005,0.997
21.807960096,0.0220,0.0078,0.9990,0.995
22.808350251,0.0220,0.0098,0.9985,0.995
23.826037491,0.0259,0.0088,1.0010,0.997
24.831838636,0.0254,0.0073,1.0005,0.997
25.809695771,0.0235,0.0078,1.0020,0.998
26.810151448,0.0264,0.0093,1.0029,0.999
27.810477958,0.0249,0.0078,1.0034,1.000
28.81131103,0.0264,0.0083,1.0034,1.000
29.811515613,0.0239,0.0088,1.0015,0.998
30.81205754,0.0259,0.0088,0.9976,0.994
31.812599363,0.0235,0.0083,0.9995,0.996
32.813435248,0.0239,0.0068,0.9961,0.992
33.813560664,0.0239,0.0088,1.0020,0.998
34.814989361,0.0249,0.0078,1.0005,0.997
35.814659309,0.0269,0.0068,1.0005,0.997
36.815386809,0.0249,0.0093,1.0000,0.996
37.815935923,0.0235,0.0078,0.9995,0.996
38.816087537,0.0254,0.0088,1.0005,0.997
39.816864255,0.0254,0.0112,1.0010,0.997
40.818527276,0.0244,0.0083,1.0005,0.997
41.818283942,0.0235,0.0088,1.0020,0.998
42.820023733,0.0254,0.0083,1.0010,0.997
43.837301702,0.0244,0.0088,1.0015,0.998
44.827071128,0.0259,0.0088,1.0005,0.997
45.828101493,0.0235,0.0083,1.0000,0.996
46.849496232,0.0259,0.0078,1.0020,0.998
47.820953471,0.0249,0.0078,1.0039,1.000
48.822277742,0.0259,0.0083,0.9995,0.996
49.821843627,0.0244,0.0088,1.0000,0.996
50.822981595,0.0254,0.0078,1.0020,0.998
51.823450136,0.0230,0.0093,1.0010,0.997
52.824134407,0.0264,0.0093,1.0020,0.998
53.823917115,0.0244,0.0098,1.0020,0.998
54.824422375,0.0244,0.0103,0.9990,0.995
55.824630395,0.0235,0.0088,1.0015,0.998
56.82585727,0.0249,0.0083,1.0059,1.002
57.826214561,0.0239,0.0093,1.0029,0.999
58.827147373,0.0244,0.0083,1.0029,0.999
59.829634769,0.0259,0.0078,1.0005,0.997
60.83055206,0.0249,0.0093,1.0034,1.000
61.83021732,0.0235,0.0098,1.0020,0.998
62.830672372,0.0249,0.0093,0.9990,0.995
