Medicion,Aceleracion_X,Aceleracion_Y,Aceleracion_Z
1,0.13,0.00,0.98
2,0.14,-0.00,1.00
3,0.13,0.00,0.98
4,0.14,0.00,0.99
5,0.13,0.00,0.99
6,0.12,0.01,0.99
7,0.12,-0.00,0.99
8,0.13,0.00,0.99
9,0.12,0.00,0.98
10,0.12,0.00,0.99
11,0.11,-0.00,0.98
12,0.12,-0.00,0.99
13,0.12,0.00,0.99
14,0.11,0.00,0.99
15,0.11,-0.00,0.99
16,0.10,0.00,0.98
17,0.11,0.00,0.98
18,0.11,0.00,0.99
19,0.10,-0.00,0.99
20,0.12,0.00,0.99
21,0.10,0.01,0.99
22,0.10,0.00,0.99
23,0.11,-0.00,0.99
24,0.11,-0.00,0.99
25,0.10,0.00,0.99
26,0.11,0.00,0.99
27,0.10,0.00,0.99
28,0.10,0.00,0.98
29,0.11,-0.00,0.99
30,0.10,0.00,0.98
31,0.11,0.00,0.98
32,0.10,0.00,0.97
33,0.10,0.00,0.97
34,0.11,0.00,0.98
35,0.11,-0.00,0.99
36,0.10,-0.00,0.99
37,0.10,-0.00,0.98
38,0.11,0.00,0.99
39,0.10,-0.00,0.99
40,0.10,0.00,0.99
41,0.10,-0.00,0.99
42,0.10,0.00,0.99
43,0.10,-0.00,0.99
44,0.11,0.00,0.99
45,0.11,-0.00,1.00
46,0.10,0.00,0.98
47,0.11,0.00,0.99
48,0.11,0.00,0.99
49,0.11,-0.00,0.98
50,0.10,0.00,0.99
51,0.11,0.00,0.98
52,0.10,0.00,0.98
53,0.09,-0.00,0.98
54,0.10,0.00,0.98
55,0.11,0.00,0.98
56,0.11,-0.00,0.99
57,0.10,-0.00,0.99
58,0.10,-0.00,0.99
59,0.11,-0.00,0.99
60,0.10,0.00,0.98
61,0.11,-0.00,1.00
62,0.11,0.00,1.01
63,0.10,-0.01,0.99
64,0.10,0.00,0.99
65,0.11,0.00,0.99
66,0.14,-0.02,1.09
67,0.11,0.00,0.98
68,0.09,-0.01,0.94
69,0.11,0.00,0.99
70,0.10,-0.00,0.98
71,0.11,-0.00,0.99
72,0.11,-0.00,0.99
73,0.11,-0.00,0.99
74,0.10,-0.00,0.99
75,0.10,-0.00,0.98
76,0.10,-0.00,0.99
77,0.11,0.00,0.99
78,0.11,0.00,0.99
79,0.10,-0.00,0.99
80,0.11,0.00,0.98
81,0.10,-0.00,0.98
82,0.10,0.00,0.99
