time,gFx,gFy,gFz,TgF
1,0.0254,0.0078,1.0039,1.0
2,0.0249,0.0103,1.0029,0.999
3,0.0254,0.0078,1.0034,1.0
4,0.0254,0.0068,1.0024,0.999
5,0.023,0.0103,0.999,0.995
6,0.0254,0.0093,0.9976,0.994
7,0.0249,0.0088,0.9966,0.993
8,0.0235,0.0098,0.999,0.995
9,0.0254,0.0083,0.9995,0.996
10,0.0244,0.0083,1.0,0.996
11,0.0254,0.0103,0.9995,0.996
12,0.0244,0.0093,1.0005,0.997
13,0.0254,0.0088,1.0029,0.999
14,0.0239,0.0098,1.0005,0.997
15,0.0235,0.0078,1.001,0.997
16,0.0249,0.0078,1.0005,0.997
17,0.023,0.0088,1.001,0.997
18,0.0249,0.0083,1.001,0.997
19,0.0249,0.0088,0.999,0.995
20,0.0244,0.0103,1.0005,0.997
21,0.022,0.0078,0.999,0.995
22,0.022,0.0098,0.9985,0.995
23,0.0259,0.0088,1.001,0.997
24,0.0254,0.0073,1.0005,0.997
25,0.0235,0.0078,1.002,0.998
26,0.0264,0.0093,1.0029,0.999
27,0.0249,0.0078,1.0034,1.0
28,0.0264,0.0083,1.0034,1.0
29,0.0239,0.0088,1.0015,0.998
30,0.0259,0.0088,0.9976,0.994
31,0.0235,0.0083,0.9995,0.996
32,0.0239,0.0068,0.9961,0.992
33,0.0239,0.0088,1.002,0.998
34,0.0249,0.0078,1.0005,0.997
35,0.0269,0.0068,1.0005,0.997
36,0.0249,0.0093,1.0,0.996
37,0.0235,0.0078,0.9995,0.996
38,0.0254,0.0088,1.0005,0.997
39,0.0254,0.0112,1.001,0.997
40,0.0244,0.0083,1.0005,0.997
41,0.0235,0.0088,1.002,0.998
42,0.0254,0.0083,1.001,0.997
43,0.0244,0.0088,1.0015,0.998
44,0.0259,0.0088,1.0005,0.997
45,0.0235,0.0083,1.0,0.996
46,0.0259,0.0078,1.002,0.998
47,0.0249,0.0078,1.0039,1.0
48,0.0259,0.0083,0.9995,0.996
49,0.0244,0.0088,1.0,0.996
50,0.0254,0.0078,1.002,0.998
51,0.023,0.0093,1.001,0.997
52,0.0264,0.0093,1.002,0.998
53,0.0244,0.0098,1.002,0.998
54,0.0244,0.0103,0.999,0.995
55,0.0235,0.0088,1.0015,0.998
56,0.0249,0.0083,1.0059,1.002
57,0.0239,0.0093,1.0029,0.999
58,0.0244,0.0083,1.0029,0.999
59,0.0259,0.0078,1.0005,0.997
60,0.0249,0.0093,1.0034,1.0
61,0.0235,0.0098,1.002,0.998
62,0.0249,0.0093,0.999,0.995
63,0.0249,0.0088,1.0024,0.999
64,0.0239,0.0088,1.0005,0.997
65,0.0244,0.0078,1.0005,0.997
66,0.0225,0.0103,1.002,0.998
67,0.0244,0.0073,1.0029,0.999
68,0.0239,0.0088,1.002,0.998
69,0.0225,0.0093,1.0,0.996
70,0.0239,0.0093,1.0029,0.999
71,0.0254,0.0103,1.002,0.998
72,0.0195,0.0093,1.0015,0.998
73,0.023,0.0103,1.0029,0.999
74,0.0235,0.0083,1.0015,0.998
75,0.0254,0.0054,1.0073,1.004
76,0.0269,0.0083,1.0034,1.0
77,0.0244,0.0068,1.0,0.996
78,0.0254,0.0083,1.0024,0.999
79,0.022,0.0049,1.0088,1.005
80,0.0235,0.0078,1.0029,0.999
81,0.0244,0.0093,1.0005,0.997
82,0.0235,0.0088,1.001,0.997
83,0.0249,0.0083,1.0,0.996
84,0.0254,0.0073,1.0024,0.999
85,0.0239,0.0078,1.0015,0.998
86,0.0239,0.0083,1.0015,0.998
87,0.0249,0.0078,1.0039,1.0
88,0.0235,0.0088,1.0024,0.999
89,0.0244,0.0103,1.0059,1.002
90,0.0249,0.0083,0.999,0.995
91,0.023,0.0083,1.0044,1.001
92,0.0249,0.0083,1.0015,0.998
93,0.0249,0.0083,1.0024,0.999
94,0.0259,0.0088,1.0029,0.999
95,0.0254,0.0078,1.0015,0.998
96,0.0254,0.0083,0.9976,0.994
97,0.0254,0.0088,0.999,0.995
98,0.0254,0.0073,1.0024,0.999
99,0.0244,0.0088,1.0024,0.999
100,0.0264,0.0088,1.002,0.998
101,0.0239,0.0068,1.002,0.998
102,0.0235,0.0083,1.001,0.997
103,0.0225,0.0098,0.9985,0.995
104,0.0244,0.0093,1.001,0.997
105,0.0244,0.0083,1.0015,0.998
106,0.0259,0.0083,1.0015,0.998
107,0.0225,0.0093,1.0005,0.997
108,0.0259,0.0068,1.0005,0.997
109,0.0254,0.0088,1.0005,0.997
110,0.0239,0.0073,0.9995,0.996
111,0.0269,0.0103,1.0029,0.999
112,0.0235,0.0103,1.0024,0.999
113,0.0235,0.0073,1.0029,0.999
114,0.0249,0.0078,1.0015,0.998
115,0.0254,0.0078,1.0015,0.998
116,0.0244,0.0083,0.9995,0.996
117,0.0235,0.0073,1.0005,0.997
118,0.0244,0.0103,1.0024,0.999
119,0.0254,0.0083,1.0029,0.999
120,0.0254,0.0083,1.001,0.997
121,0.0244,0.0078,1.0005,0.997
122,0.0279,0.0064,0.9946,0.991
123,0.0239,0.0078,0.9995,0.996
124,0.0283,0.0068,1.001,0.997
125,0.0235,0.0088,1.0024,0.999
126,0.0235,0.0088,1.0005,0.997
127,0.0244,0.0064,0.9976,0.994
128,0.0254,0.0083,1.0024,0.999
129,0.0244,0.0083,1.0029,0.999
130,0.0264,0.0078,1.0005,0.997
131,0.0239,0.0078,1.001,0.997
132,0.0239,0.0088,1.0015,0.998
133,0.0259,0.0083,1.001,0.997
134,0.0249,0.0073,1.0029,0.999
135,0.0254,0.0103,1.0015,0.998
136,0.0288,0.0073,1.0039,1.0
137,0.0259,0.0064,1.0029,0.999
138,0.0283,0.0093,1.001,0.997
139,0.0249,0.0088,1.0068,1.003
140,0.0239,0.0068,0.9951,0.991
141,0.023,0.0088,1.001,0.997
142,0.0283,0.0064,0.9966,0.993
143,0.022,0.0073,1.002,0.998
144,0.0235,0.0083,1.0029,0.999
145,0.0235,0.0093,1.0024,0.999
146,0.0249,0.0078,0.9985,0.995
147,0.0269,0.0073,0.9995,0.996
148,0.0249,0.0078,1.0005,0.997
149,0.0235,0.0088,1.0,0.996
150,0.0235,-0.0044,0.9927,0.989
151,0.0249,0.0083,1.0,0.996
152,0.0244,0.0093,1.0015,0.998
153,0.0235,0.0093,1.0015,0.998
154,0.0239,0.0073,0.9995,0.996
155,0.0239,0.0088,1.0059,1.002
156,0.0264,0.0103,1.002,0.998
157,0.0239,0.0083,1.0024,0.999
158,0.021,0.0103,1.002,0.998
159,0.0288,0.0093,1.0015,0.998
160,0.0254,0.0103,1.0044,1.001
161,0.0239,0.0078,1.001,0.997
162,0.0249,0.0068,1.002,0.998
163,0.0259,0.0088,1.0015,0.998
164,0.0235,0.0093,1.001,0.997
165,0.0244,0.0068,0.9995,0.996
166,0.0254,0.0078,1.002,0.998
167,0.0254,0.0078,1.0,0.996
168,0.023,0.0088,1.0015,0.998
169,0.0254,0.0068,1.0015,0.998
170,0.0244,0.0093,1.001,0.997
171,0.0249,0.0083,1.0,0.996
172,0.0239,0.0078,0.9995,0.996
173,0.0225,0.0078,1.002,0.998
174,0.0249,0.0088,1.0,0.996
175,0.0244,0.0093,1.0005,0.997
176,0.022,0.0093,1.001,0.997
177,0.0239,0.0093,0.9995,0.996
178,0.0254,0.0088,1.0005,0.997
179,0.0249,0.0098,1.0,0.996
180,0.0254,0.0078,1.0015,0.998
181,0.0249,0.0093,1.0034,1.0
182,0.0249,0.0093,0.9995,0.996
183,0.0249,0.0083,1.0029,0.999
184,0.0239,0.0107,1.0,0.996
185,0.0235,0.0088,1.0015,0.998
186,0.0239,0.0073,1.0,0.996
187,0.0239,0.0083,1.001,0.997
188,0.0235,0.0088,1.001,0.997
189,0.0259,0.0078,1.0015,0.998
190,0.0259,0.0083,1.0005,0.997
191,0.0259,0.0093,1.0024,0.999
192,0.0239,0.0088,1.0029,0.999
193,0.0249,0.0078,1.0039,1.0
194,0.0264,0.0093,1.0005,0.997
195,0.0244,0.0093,1.0015,0.998
196,0.0249,0.0088,1.0005,0.997
197,0.022,0.0078,1.0005,0.997
198,0.0259,0.0078,1.0,0.996
199,0.023,0.0078,1.0005,0.997
200,0.0235,0.0088,1.0005,0.997
201,0.0264,0.0068,1.002,0.998
202,0.0244,0.0068,1.0,0.996
203,0.022,0.0088,1.002,0.998
204,0.023,0.0073,1.0015,0.998
205,0.0249,0.0098,1.0,0.996
206,0.0239,0.0088,1.0005,0.997
207,0.0239,0.0083,1.0015,0.998
208,0.0259,0.0088,1.0015,0.998
209,0.0254,0.0078,1.001,0.997
210,0.0244,0.0093,1.001,0.997
211,0.0235,0.0078,0.9985,0.995
212,0.0244,0.0093,1.0015,0.998
213,0.0235,0.0068,1.002,0.998
214,0.0249,0.0078,1.0005,0.997
215,0.0259,0.0078,1.0029,0.999
216,0.0235,0.0073,1.0015,0.998
217,0.0244,0.0083,1.001,0.997
218,0.0279,0.0083,1.0015,0.998
219,0.0249,0.0078,1.0,0.996
220,0.0249,0.0078,1.002,0.998
221,0.0239,0.0078,1.002,0.998
222,0.0239,0.0083,1.0005,0.997
223,0.0249,0.0088,0.999,0.995
224,0.0244,0.0093,1.001,0.997
225,0.0235,0.0088,1.0015,0.998
226,0.0259,0.0083,0.9995,0.996
227,0.0259,0.0088,1.0024,0.999
228,0.0239,0.0073,1.0005,0.997
229,0.0259,0.0068,0.9995,0.996
230,0.0249,0.0088,1.0,0.996
231,0.0264,0.0068,1.0024,0.999
232,0.0244,0.0078,1.0015,0.998
233,0.0239,0.0093,1.001,0.997
234,0.0259,0.0083,0.999,0.995
235,0.0254,0.0073,1.0,0.996
236,0.0264,0.0078,1.0005,0.997
237,0.0244,0.0064,1.0005,0.997
238,0.0235,0.0073,1.002,0.998
239,0.0239,0.0073,1.0,0.996
240,0.0249,0.0068,1.001,0.997
241,0.0244,0.0093,0.9995,0.996
242,0.0259,0.0078,1.0005,0.997
243,0.0254,0.0073,1.0015,0.998
244,0.0249,0.0093,1.0024,0.999
245,0.0249,0.0088,1.0015,0.998
246,0.0249,0.0088,0.9995,0.996
247,0.0239,0.0093,1.0029,0.999
248,0.0244,0.0068,1.002,0.998
249,0.0244,0.0078,1.0,0.996
250,0.0235,0.0083,0.9995,0.996
251,0.0249,0.0073,1.001,0.997
252,0.0235,0.0059,1.002,0.998
253,0.0249,0.0083,0.999,0.995
254,0.0249,0.0078,1.0024,0.999
255,0.0244,0.0083,1.0015,0.998
256,0.0254,0.0073,1.0,0.996
257,0.0239,0.0093,1.0015,0.998
258,0.0244,0.0088,1.0015,0.998
259,0.0259,0.0083,1.0015,0.998
260,0.0264,0.0073,1.0005,0.997
261,0.0244,0.0078,1.001,0.997
262,0.0249,0.0083,1.0015,0.998
263,0.0249,0.0088,1.0029,0.999
264,0.0259,0.0083,1.0,0.996
265,0.0264,0.0083,1.0015,0.998
266,0.0264,0.0093,1.0005,0.997
267,0.0239,0.0078,1.0034,1.0
268,0.0244,0.0093,1.002,0.998
269,0.0244,0.0093,1.001,0.997
270,0.0249,0.0088,1.0029,0.999
271,0.0249,0.0078,1.0005,0.997
272,0.0244,0.0088,1.002,0.998
273,0.0225,0.0098,1.0,0.996
274,0.0249,0.0088,0.9995,0.996
275,0.0244,0.0073,0.999,0.995
276,0.0244,0.0088,1.0,0.996
277,0.0239,0.0083,0.9995,0.996
278,0.0259,0.0073,0.999,0.995
279,0.0244,0.0098,1.0015,0.998
280,0.0254,0.0083,1.001,0.997
281,0.0259,0.0073,1.002,0.998
282,0.023,0.0073,1.0039,1.0
283,0.0205,0.0088,0.9995,0.996
284,0.022,0.0078,1.0029,0.999
285,0.023,0.0078,1.002,0.998
286,0.0254,0.0093,1.0005,0.997
287,0.0249,0.0078,1.0005,0.997
288,0.0244,0.0098,1.0005,0.997
289,0.0249,0.0088,1.001,0.997
290,0.0244,0.0078,1.0005,0.997
291,0.0239,0.0098,0.9995,0.996
292,0.0239,0.0088,1.0015,0.998
293,0.0239,0.0107,0.9985,0.995
294,0.0249,0.0098,1.0024,0.999
295,0.0269,0.0093,1.0015,0.998
296,0.023,0.0078,0.998,0.994
297,0.0225,0.0083,1.002,0.998
298,0.0249,0.0093,1.0015,0.998
299,0.0235,0.0073,1.0,0.996
300,0.0244,0.0064,1.001,0.997
301,0.0239,0.0093,1.0,0.996
302,0.0244,0.0088,0.9995,0.996
303,0.0239,0.0103,1.002,0.998
304,0.0244,0.0093,1.001,0.997
305,0.023,0.0078,1.002,0.998
306,0.0239,0.0098,1.0005,0.997
307,0.0244,0.0103,0.9966,0.993
308,0.0244,0.0068,1.0,0.996
309,0.0235,0.0088,1.0044,1.001
310,0.0244,0.0078,1.0015,0.998
311,0.0254,0.0078,0.9976,0.994
312,0.0249,0.0107,1.0,0.996
313,0.0322,0.0073,1.0024,0.999
314,0.0283,0.0068,1.0039,1.0
315,0.0239,0.0083,1.0,0.996
316,0.0235,0.0083,1.0005,0.997
317,0.023,0.0088,1.001,0.997
318,0.0244,0.0083,1.0029,0.999
319,0.0254,0.0068,1.0029,0.999
321,0.0249,0.0093,1.0005,0.997
322,0.0259,0.0078,1.0024,0.999
322,0.0235,0.0078,1.0015,0.998
323,0.0254,0.0064,1.001,0.997
324,0.0254,0.0088,1.001,0.997
325,0.0235,0.0088,1.0,0.996
326,0.0259,0.0098,0.9995,0.996
327,0.0249,0.0083,1.0005,0.997
328,0.0235,0.0088,1.001,0.997
329,0.0249,0.0098,1.0034,1.0
330,0.0239,0.0093,0.9995,0.996
331,0.0254,0.0064,0.999,0.995
332,0.0254,0.0083,1.0,0.996
333,0.0244,0.0093,1.001,0.997
334,0.0249,0.0073,1.001,0.997
