time,gFx,gFy,gFz,TgF
1,0.0254,0.0078,1.0034,1.0
2,0.0254,0.0068,1.0024,0.999
3,0.023,0.0103,0.999,0.995
4,0.0254,0.0093,0.9976,0.994
5,0.0249,0.0088,0.9966,0.993
6,0.0235,0.0098,0.999,0.995
7,0.0254,0.0083,0.9995,0.996
8,0.0244,0.0083,1.0,0.996
9,0.0254,0.0103,0.9995,0.996
10,0.0244,0.0093,1.0005,0.997
11,0.0254,0.0088,1.0029,0.999
12,0.0239,0.0098,1.0005,0.997
13,0.0235,0.0078,1.001,0.997
14,0.0249,0.0078,1.0005,0.997
15,0.023,0.0088,1.001,0.997
16,0.0249,0.0083,1.001,0.997
17,0.0249,0.0088,0.999,0.995
18,0.0244,0.0103,1.0005,0.997
19,0.022,0.0078,0.999,0.995
20,0.022,0.0098,0.9985,0.995
21,0.0259,0.0088,1.001,0.997
22,0.0254,0.0073,1.0005,0.997
23,0.0235,0.0078,1.002,0.998
24,0.0264,0.0093,1.0029,0.999
25,0.0249,0.0078,1.0034,1.0
26,0.0264,0.0083,1.0034,1.0
27,0.0239,0.0088,1.0015,0.998
28,0.0259,0.0088,0.9976,0.994
29,0.0235,0.0083,0.9995,0.996
30,0.0239,0.0068,0.9961,0.992
31,0.0239,0.0088,1.002,0.998
32,0.0249,0.0078,1.0005,0.997
33,0.0269,0.0068,1.0005,0.997
34,0.0249,0.0093,1.0,0.996
35,0.0235,0.0078,0.9995,0.996
36,0.0254,0.0088,1.0005,0.997
37,0.0254,0.0112,1.001,0.997
38,0.0244,0.0083,1.0005,0.997
39,0.0235,0.0088,1.002,0.998
40,0.0254,0.0083,1.001,0.997
41,0.0244,0.0088,1.0015,0.998
42,0.0259,0.0088,1.0005,0.997
43,0.0235,0.0083,1.0,0.996
44,0.0259,0.0078,1.002,0.998
45,0.0249,0.0078,1.0039,1.0
46,0.0259,0.0083,0.9995,0.996
47,0.0244,0.0088,1.0,0.996
48,0.0254,0.0078,1.002,0.998
49,0.023,0.0093,1.001,0.997
50,0.0264,0.0093,1.002,0.998
51,0.0244,0.0098,1.002,0.998
52,0.0244,0.0103,0.999,0.995
53,0.0235,0.0088,1.0015,0.998
54,0.0249,0.0083,1.0059,1.002
55,0.0239,0.0093,1.0029,0.999
56,0.0244,0.0083,1.0029,0.999
57,0.0259,0.0078,1.0005,0.997
58,0.0249,0.0093,1.0034,1.0
59,0.0235,0.0098,1.002,0.998
60,0.0249,0.0093,0.999,0.995
61,0.0249,0.0088,1.0024,0.999
62,0.0239,0.0088,1.0005,0.997
63,0.0244,0.0078,1.0005,0.997
64,0.0225,0.0103,1.002,0.998
65,0.0244,0.0073,1.0029,0.999
66,0.0239,0.0088,1.002,0.998
67,0.0225,0.0093,1.0,0.996
68,0.0239,0.0093,1.0029,0.999
69,0.0254,0.0103,1.002,0.998
70,0.0195,0.0093,1.0015,0.998
71,0.023,0.0103,1.0029,0.999
72,0.0235,0.0083,1.0015,0.998
73,0.0254,0.0054,1.0073,1.004
74,0.0269,0.0083,1.0034,1.0
75,0.0244,0.0068,1.0,0.996
76,0.0254,0.0083,1.0024,0.999
77,0.022,0.0049,1.0088,1.005
78,0.0235,0.0078,1.0029,0.999
79,0.0244,0.0093,1.0005,0.997
80,0.0235,0.0088,1.001,0.997
81,0.0249,0.0083,1.0,0.996
82,0.0254,0.0073,1.0024,0.999
83,0.0239,0.0078,1.0015,0.998
84,0.0239,0.0083,1.0015,0.998
85,0.0249,0.0078,1.0039,1.0
86,0.0235,0.0088,1.0024,0.999
87,0.0244,0.0103,1.0059,1.002
88,0.0249,0.0083,0.999,0.995
89,0.023,0.0083,1.0044,1.001
90,0.0249,0.0083,1.0015,0.998
91,0.0249,0.0083,1.0024,0.999
92,0.0259,0.0088,1.0029,0.999
93,0.0254,0.0078,1.0015,0.998
94,0.0254,0.0083,0.9976,0.994
95,0.0254,0.0088,0.999,0.995
96,0.0254,0.0073,1.0024,0.999
97,0.0244,0.0088,1.0024,0.999
98,0.0264,0.0088,1.002,0.998
99,0.0239,0.0068,1.002,0.998
100,0.0235,0.0083,1.001,0.997
101,0.0225,0.0098,0.9985,0.995
102,0.0244,0.0093,1.001,0.997
103,0.0244,0.0083,1.0015,0.998
104,0.0259,0.0083,1.0015,0.998
105,0.0225,0.0093,1.0005,0.997
106,0.0259,0.0068,1.0005,0.997
107,0.0254,0.0088,1.0005,0.997
108,0.0239,0.0073,0.9995,0.996
109,0.0269,0.0103,1.0029,0.999
110,0.0235,0.0103,1.0024,0.999
111,0.0235,0.0073,1.0029,0.999
112,0.0249,0.0078,1.0015,0.998
113,0.0254,0.0078,1.0015,0.998
114,0.0244,0.0083,0.9995,0.996
115,0.0235,0.0073,1.0005,0.997
116,0.0244,0.0103,1.0024,0.999
117,0.0254,0.0083,1.0029,0.999
118,0.0254,0.0083,1.001,0.997
119,0.0244,0.0078,1.0005,0.997
120,0.0279,0.0064,0.9946,0.991
121,0.0239,0.0078,0.9995,0.996
122,0.0283,0.0068,1.001,0.997
123,0.0235,0.0088,1.0024,0.999
124,0.0235,0.0088,1.0005,0.997
125,0.0244,0.0064,0.9976,0.994
126,0.0254,0.0083,1.0024,0.999
127,0.0244,0.0083,1.0029,0.999
128,0.0264,0.0078,1.0005,0.997
129,0.0239,0.0078,1.001,0.997
130,0.0239,0.0088,1.0015,0.998
131,0.0259,0.0083,1.001,0.997
132,0.0249,0.0073,1.0029,0.999
133,0.0254,0.0103,1.0015,0.998
134,0.0288,0.0073,1.0039,1.0
135,0.0259,0.0064,1.0029,0.999
136,0.0283,0.0093,1.001,0.997
137,0.0249,0.0088,1.0068,1.003
138,0.0239,0.0068,0.9951,0.991
139,0.023,0.0088,1.001,0.997
140,0.0283,0.0064,0.9966,0.993
141,0.022,0.0073,1.002,0.998
142,0.0235,0.0083,1.0029,0.999
143,0.0235,0.0093,1.0024,0.999
144,0.0249,0.0078,0.9985,0.995
145,0.0269,0.0073,0.9995,0.996
146,0.0249,0.0078,1.0005,0.997
147,0.0235,0.0088,1.0,0.996
148,0.0235,-0.0044,0.9927,0.989
149,0.0249,0.0083,1.0,0.996
150,0.0244,0.0093,1.0015,0.998
151,0.0235,0.0093,1.0015,0.998
152,0.0239,0.0073,0.9995,0.996
153,0.0239,0.0088,1.0059,1.002
154,0.0264,0.0103,1.002,0.998
155,0.0239,0.0083,1.0024,0.999
156,0.021,0.0103,1.002,0.998
157,0.0288,0.0093,1.0015,0.998
158,0.0254,0.0103,1.0044,1.001
159,0.0239,0.0078,1.001,0.997
160,0.0249,0.0068,1.002,0.998
161,0.0259,0.0088,1.0015,0.998
162,0.0235,0.0093,1.001,0.997
163,0.0244,0.0068,0.9995,0.996
164,0.0254,0.0078,1.002,0.998
165,0.0254,0.0078,1.0,0.996
166,0.023,0.0088,1.0015,0.998
167,0.0254,0.0068,1.0015,0.998
168,0.0244,0.0093,1.001,0.997
169,0.0249,0.0083,1.0,0.996
170,0.0239,0.0078,0.9995,0.996
171,0.0225,0.0078,1.002,0.998
172,0.0249,0.0088,1.0,0.996
173,0.0244,0.0093,1.0005,0.997
174,0.022,0.0093,1.001,0.997
175,0.0239,0.0093,0.9995,0.996
176,0.0254,0.0088,1.0005,0.997
177,0.0249,0.0098,1.0,0.996
178,0.0254,0.0078,1.0015,0.998
179,0.0249,0.0093,1.0034,1.0
180,0.0249,0.0093,0.9995,0.996
181,0.0249,0.0083,1.0029,0.999
182,0.0239,0.0107,1.0,0.996
183,0.0235,0.0088,1.0015,0.998
184,0.0239,0.0073,1.0,0.996
185,0.0239,0.0083,1.001,0.997
186,0.0235,0.0088,1.001,0.997
187,0.0259,0.0078,1.0015,0.998
188,0.0259,0.0083,1.0005,0.997
189,0.0259,0.0093,1.0024,0.999
190,0.0239,0.0088,1.0029,0.999
191,0.0249,0.0078,1.0039,1.0
192,0.0264,0.0093,1.0005,0.997
193,0.0244,0.0093,1.0015,0.998
194,0.0249,0.0088,1.0005,0.997
195,0.022,0.0078,1.0005,0.997
196,0.0259,0.0078,1.0,0.996
197,0.023,0.0078,1.0005,0.997
198,0.0235,0.0088,1.0005,0.997
199,0.0264,0.0068,1.002,0.998
200,0.0244,0.0068,1.0,0.996
201,0.022,0.0088,1.002,0.998
202,0.023,0.0073,1.0015,0.998
203,0.0249,0.0098,1.0,0.996
204,0.0239,0.0088,1.0005,0.997
205,0.0239,0.0083,1.0015,0.998
206,0.0259,0.0088,1.0015,0.998
207,0.0254,0.0078,1.001,0.997
208,0.0244,0.0093,1.001,0.997
209,0.0235,0.0078,0.9985,0.995
210,0.0244,0.0093,1.0015,0.998
211,0.0235,0.0068,1.002,0.998
212,0.0249,0.0078,1.0005,0.997
213,0.0259,0.0078,1.0029,0.999
214,0.0235,0.0073,1.0015,0.998
215,0.0244,0.0083,1.001,0.997
216,0.0279,0.0083,1.0015,0.998
217,0.0249,0.0078,1.0,0.996
218,0.0249,0.0078,1.002,0.998
219,0.0239,0.0078,1.002,0.998
220,0.0239,0.0083,1.0005,0.997
221,0.0249,0.0088,0.999,0.995
222,0.0244,0.0093,1.001,0.997
223,0.0235,0.0088,1.0015,0.998
224,0.0259,0.0083,0.9995,0.996
225,0.0259,0.0088,1.0024,0.999
226,0.0239,0.0073,1.0005,0.997
227,0.0259,0.0068,0.9995,0.996
228,0.0249,0.0088,1.0,0.996
229,0.0264,0.0068,1.0024,0.999
230,0.0244,0.0078,1.0015,0.998
231,0.0239,0.0093,1.001,0.997
232,0.0259,0.0083,0.999,0.995
233,0.0254,0.0073,1.0,0.996
234,0.0264,0.0078,1.0005,0.997
235,0.0244,0.0064,1.0005,0.997
236,0.0235,0.0073,1.002,0.998
237,0.0239,0.0073,1.0,0.996
238,0.0249,0.0068,1.001,0.997
239,0.0244,0.0093,0.9995,0.996
240,0.0259,0.0078,1.0005,0.997
241,0.0254,0.0073,1.0015,0.998
242,0.0249,0.0093,1.0024,0.999
243,0.0249,0.0088,1.0015,0.998
244,0.0249,0.0088,0.9995,0.996
245,0.0239,0.0093,1.0029,0.999
246,0.0244,0.0068,1.002,0.998
247,0.0244,0.0078,1.0,0.996
248,0.0235,0.0083,0.9995,0.996
249,0.0249,0.0073,1.001,0.997
250,0.0235,0.0059,1.002,0.998
251,0.0249,0.0083,0.999,0.995
252,0.0249,0.0078,1.0024,0.999
253,0.0244,0.0083,1.0015,0.998
254,0.0254,0.0073,1.0,0.996
255,0.0239,0.0093,1.0015,0.998
256,0.0244,0.0088,1.0015,0.998
257,0.0259,0.0083,1.0015,0.998
258,0.0264,0.0073,1.0005,0.997
259,0.0244,0.0078,1.001,0.997
260,0.0249,0.0083,1.0015,0.998
261,0.0249,0.0088,1.0029,0.999
262,0.0259,0.0083,1.0,0.996
263,0.0264,0.0083,1.0015,0.998
264,0.0264,0.0093,1.0005,0.997
265,0.0239,0.0078,1.0034,1.0
266,0.0244,0.0093,1.002,0.998
